model,method,bits,nominal_bits,model_bits,ppl,ppl_ci_low,ppl_ci_high,n_seeds,source,accounting_status
meta-llama/Llama-3.2-1B,SEQ:residual_rms(gptq_llmc-4b k=0.2),7.454,6.402,12.671,10.4525,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_scale(gptq_llmc-4b k=0.2),7.454,6.402,12.671,10.4793,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:random(gptq_llmc-4b k=0.2),7.454,6.402,12.671,10.508,10.3339,10.6822,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:greedy_indep(gptq_llmc-4b k=0.2),7.454,6.402,12.671,11.3847,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:greedy(gptq_llmc-4b k=0.2),7.454,6.402,12.671,64.9954,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:greedy(hqq-4b k=0.2),7.704,6.402,12.868,10.1282,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:greedy_indep(hqq-4b k=0.2),7.704,6.402,12.868,10.1545,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_max(hqq-4b k=0.2),7.704,6.402,12.868,10.1573,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_max(hqq-4b k=0.2),7.704,6.402,12.868,10.1578,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_rms(hqq-4b k=0.2),7.704,6.402,12.868,10.3076,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_scale(hqq-4b k=0.2),7.704,6.402,12.868,10.3091,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:random(hqq-4b k=0.2),7.704,6.402,12.868,10.8843,10.8357,10.933,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_max(hqq-8b k=0.0),8.5,8.0,11.901,9.7618,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,HQQ-8 uniform,8.5,8.0,11.901,9.7618,,,1,baseline,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,FP16,16.0,16.0,,9.7572,,,1,baseline,declared_external
meta-llama/Llama-3.2-3B,GPTQ-4 g128,4.0,4.0,,8.2715,,,1,baseline,declared_external
meta-llama/Llama-3.2-3B,AWQ-4 g128,4.0,4.0,,8.4092,,,1,baseline,declared_external
meta-llama/Llama-3.2-3B,RTN-4 g128,4.0,4.0,,8.4967,,,1,baseline,declared_external
meta-llama/Llama-3.2-3B,SEQ:residual_max(gptq_llmc-4b k=0.0),4.25,4.0,7.654,8.1715,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_max(hqq-4b k=0.0),4.5,4.0,7.873,8.3278,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,HQQ-4 uniform,4.5,4.0,7.873,8.3278,,,1,baseline,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_max(gptq_llmc-4b k=0.02),4.572,4.242,7.937,8.0998,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_rms(gptq_llmc-4b k=0.02),4.572,4.242,7.937,8.1455,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:random(gptq_llmc-4b k=0.02),4.572,4.242,7.937,8.1702,8.1432,8.1972,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(gptq_llmc-4b k=0.02),4.572,4.242,7.937,8.1813,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_scale(gptq_llmc-4b k=0.02),4.572,4.242,7.937,8.5861,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy_indep(gptq_llmc-4b k=0.02),4.572,4.242,7.937,41.5019,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy(gptq_llmc-4b k=0.02),4.572,4.242,7.937,51.6831,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy(hqq-4b k=0.02),4.822,4.242,8.156,8.1005,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy_indep(hqq-4b k=0.02),4.822,4.242,8.156,8.1015,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(hqq-4b k=0.02),4.822,4.242,8.156,8.1083,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_max(hqq-4b k=0.02),4.822,4.242,8.156,8.1099,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_rms(hqq-4b k=0.02),4.822,4.242,8.156,8.1412,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_scale(hqq-4b k=0.02),4.822,4.242,8.156,8.1461,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:random(hqq-4b k=0.02),4.822,4.242,8.156,8.3181,8.3115,8.3246,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_max(gptq_llmc-4b k=0.05),5.052,4.601,8.357,8.0998,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_rms(gptq_llmc-4b k=0.05),5.052,4.601,8.357,8.153,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(gptq_llmc-4b k=0.05),5.052,4.601,8.357,8.1731,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:random(gptq_llmc-4b k=0.05),5.052,4.601,8.357,8.1931,8.0913,8.295,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_scale(gptq_llmc-4b k=0.05),5.052,4.601,8.357,8.2044,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy_indep(gptq_llmc-4b k=0.05),5.052,4.601,8.357,43.2959,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy(gptq_llmc-4b k=0.05),5.052,4.601,8.357,55.047,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy(hqq-4b k=0.05),5.302,4.601,8.577,8.0636,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy_indep(hqq-4b k=0.05),5.302,4.601,8.577,8.0636,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(hqq-4b k=0.05),5.302,4.601,8.577,8.0755,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_max(hqq-4b k=0.05),5.302,4.601,8.577,8.0781,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_rms(hqq-4b k=0.05),5.302,4.601,8.577,8.1105,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_scale(hqq-4b k=0.05),5.302,4.601,8.577,8.1141,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:random(hqq-4b k=0.05),5.302,4.601,8.577,8.3044,8.297,8.3118,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(hqq-5b k=0.0),5.5,5.0,7.463,7.9565,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,HQQ-5 uniform,5.5,5.0,7.463,7.9565,,,1,baseline,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_max(gptq_llmc-4b k=0.1),5.854,5.203,9.061,8.1008,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(gptq_llmc-4b k=0.1),5.854,5.203,9.061,8.1359,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_rms(gptq_llmc-4b k=0.1),5.854,5.203,9.061,8.1601,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_scale(gptq_llmc-4b k=0.1),5.854,5.203,9.061,8.1865,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:random(gptq_llmc-4b k=0.1),5.854,5.203,9.061,8.4638,7.2067,9.7209,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy(gptq_llmc-4b k=0.1),5.854,5.203,9.061,38.3845,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy_indep(gptq_llmc-4b k=0.1),5.854,5.203,9.061,44.8286,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy(hqq-4b k=0.1),6.104,5.203,9.28,8.0308,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy_indep(hqq-4b k=0.1),6.104,5.203,9.28,8.0353,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(hqq-4b k=0.1),6.104,5.203,9.28,8.0448,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_max(hqq-4b k=0.1),6.104,5.203,9.28,8.047,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_rms(hqq-4b k=0.1),6.104,5.203,9.28,8.0869,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_scale(hqq-4b k=0.1),6.104,5.203,9.28,8.09,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:random(hqq-4b k=0.1),6.104,5.203,9.28,8.2808,8.2753,8.2864,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(hqq-6b k=0.0),6.5,6.0,8.463,7.8448,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,HQQ-6 uniform,6.5,6.0,8.463,7.8448,,,1,baseline,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_max(gptq_llmc-4b k=0.2),7.453,6.402,10.464,8.0752,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(gptq_llmc-4b k=0.2),7.453,6.402,10.464,8.1015,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_rms(gptq_llmc-4b k=0.2),7.453,6.402,10.464,8.139,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_scale(gptq_llmc-4b k=0.2),7.453,6.402,10.464,8.154,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:random(gptq_llmc-4b k=0.2),7.453,6.402,10.464,8.3361,7.8991,8.7731,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy(gptq_llmc-4b k=0.2),7.453,6.402,10.464,40.6517,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy_indep(gptq_llmc-4b k=0.2),7.453,6.402,10.464,43.0394,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy(hqq-4b k=0.2),7.703,6.402,10.684,7.9942,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy_indep(hqq-4b k=0.2),7.703,6.402,10.684,8.0017,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_max(hqq-4b k=0.2),7.703,6.402,10.684,8.0065,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(hqq-4b k=0.2),7.703,6.402,10.684,8.0072,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_rms(hqq-4b k=0.2),7.703,6.402,10.684,8.0402,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_scale(hqq-4b k=0.2),7.703,6.402,10.684,8.0457,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:random(hqq-4b k=0.2),7.703,6.402,10.684,8.1981,7.9832,8.413,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(hqq-8b k=0.0),8.5,8.0,10.463,7.8197,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,HQQ-8 uniform,8.5,8.0,10.463,7.8197,,,1,baseline,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,FP16,16.0,16.0,,7.8167,,,1,baseline,declared_external
Qwen/Qwen2.5-3B,GPTQ-4 g128,4.0,4.0,,8.2909,,,1,baseline,declared_external
Qwen/Qwen2.5-3B,SEQ:residual_max(gptq_llmc-4b k=0.0),4.25,4.0,7.049,8.29,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:residual_max(hqq-4b k=0.0),4.5,4.0,7.274,8.6656,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,HQQ-4 uniform,4.5,4.0,7.274,8.6656,,,1,baseline,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:random(gptq_llmc-4b k=0.02),4.571,4.24,7.337,8.2919,8.2749,8.3088,3,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:greedy(gptq_llmc-4b k=0.02),4.571,4.24,7.337,8.3347,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:residual_rms(gptq_llmc-4b k=0.02),4.571,4.24,7.337,8.3391,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:residual_max(gptq_llmc-4b k=0.02),4.571,4.24,7.337,8.3505,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:greedy_indep(gptq_llmc-4b k=0.02),4.571,4.24,7.337,8.3571,,,1,sweep,recomputed_from_storage_breakdown
Qwen/Qwen2.5-3B,SEQ:act_max(gptq_llmc-4b k=0.02),4.571,4.24,7.337,8.3657,,,1,sweep,recomputed_from_storage_breakdown
