model,method,bits,nominal_bits,model_bits,ppl,ppl_ci_low,ppl_ci_high,n_seeds,source,accounting_status
meta-llama/Llama-3.2-3B,AWQ-4 g128,4.0,4.0,,8.4092,,,1,baseline,declared_external
meta-llama/Llama-3.2-3B,RTN-4 g128,4.0,4.0,,8.4967,,,1,baseline,declared_external
meta-llama/Llama-3.2-3B,GPTQ-4 g128,4.284,4.0,6.163,8.3262,,,1,baseline,recomputed_from_safetensors_metadata
meta-llama/Llama-3.2-3B,SEQ:residual_max(gptq_llmc-4b k=0.0),4.5,4.0,6.463,8.1615,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_max(hqq-4b k=0.0),4.5,4.0,6.463,8.3871,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,HQQ-4 uniform,4.5,4.0,6.463,8.3871,,,1,baseline,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_max(gptq_llmc-4b k=0.02),4.822,4.242,6.785,8.0985,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_rms(gptq_llmc-4b k=0.02),4.822,4.242,6.785,8.1375,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy(hqq-4b k=0.02),4.822,4.242,6.785,8.1493,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy_indep(hqq-4b k=0.02),4.822,4.242,6.785,8.151,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(hqq-4b k=0.02),4.822,4.242,6.785,8.1602,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_max(hqq-4b k=0.02),4.822,4.242,6.785,8.1606,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:random(gptq_llmc-4b k=0.02),4.822,4.242,6.785,8.1607,8.1283,8.1931,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(gptq_llmc-4b k=0.02),4.822,4.242,6.785,8.1683,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_rms(hqq-4b k=0.02),4.822,4.242,6.785,8.2002,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_scale(hqq-4b k=0.02),4.822,4.242,6.785,8.2049,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:random(hqq-4b k=0.02),4.822,4.242,6.785,8.376,8.3704,8.3816,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_scale(gptq_llmc-4b k=0.02),4.822,4.242,6.785,8.5767,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy_indep(gptq_llmc-4b k=0.02),4.822,4.242,6.785,44.8781,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy(gptq_llmc-4b k=0.02),4.822,4.242,6.785,55.3448,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_max(gptq_llmc-4b k=0.05),5.302,4.601,7.265,8.098,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy_indep(hqq-4b k=0.05),5.302,4.601,7.265,8.1108,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy(hqq-4b k=0.05),5.302,4.601,7.265,8.112,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(hqq-4b k=0.05),5.302,4.601,7.265,8.1253,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_max(hqq-4b k=0.05),5.302,4.601,7.265,8.1263,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_rms(gptq_llmc-4b k=0.05),5.302,4.601,7.265,8.147,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_rms(hqq-4b k=0.05),5.302,4.601,7.265,8.1675,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(gptq_llmc-4b k=0.05),5.302,4.601,7.265,8.1679,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_scale(hqq-4b k=0.05),5.302,4.601,7.265,8.1709,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:random(gptq_llmc-4b k=0.05),5.302,4.601,7.265,8.1928,8.0994,8.2862,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_scale(gptq_llmc-4b k=0.05),5.302,4.601,7.265,8.2099,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:random(hqq-4b k=0.05),5.302,4.601,7.265,8.3609,8.3511,8.3707,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy_indep(gptq_llmc-4b k=0.05),5.302,4.601,7.265,45.5972,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy(gptq_llmc-4b k=0.05),5.302,4.601,7.265,47.1931,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(hqq-5b k=0.0),5.5,5.0,7.463,7.9565,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,HQQ-5 uniform,5.5,5.0,7.463,7.9565,,,1,baseline,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy(hqq-4b k=0.1),6.104,5.203,8.067,8.0732,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:greedy_indep(hqq-4b k=0.1),6.104,5.203,8.067,8.0764,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(hqq-4b k=0.1),6.104,5.203,8.067,8.0908,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_max(gptq_llmc-4b k=0.1),6.104,5.203,8.067,8.0936,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_max(hqq-4b k=0.1),6.104,5.203,8.067,8.0946,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_max(gptq_llmc-4b k=0.1),6.104,5.203,8.067,8.1336,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_rms(hqq-4b k=0.1),6.104,5.203,8.067,8.1415,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_scale(hqq-4b k=0.1),6.104,5.203,8.067,8.1458,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:residual_rms(gptq_llmc-4b k=0.1),6.104,5.203,8.067,8.1481,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-3B,SEQ:act_scale(gptq_llmc-4b k=0.1),6.104,5.203,8.067,8.1894,,,1,sweep,recomputed_from_storage_breakdown
